key,ra,dec,name,host,confirmed_real,confirmed_dwarf,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf
bh_140,193.473,-67.177,BH 140,mw,1,,4.45,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,13.41,0.11,0.11,Baumgardt2021MNRAS.505.5957B,7.29,0.12,0.12,Baumgardt2020PASA...37...46B,90.3,0.35,0.35,,,,,Baumgardt2018MNRAS.478.1520B,-14.848,0.0244,0.0244,1.2241,0.0243,0.0243,Vasiliev2021MNRAS.505.5978V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.12,0.12,0.12,4.681029995663981,4.808393484497285,0.23751158834853303,0.24985313553385247,303.1705715491275,-4.306389568316798,-4.648326001965833,-0.22939466250190285,-1.208756125121977,6.817110248885204,780.5733053749516,392.4289951214,6.817110248885204,,,,,,,-108.24407090741461,-179.8023427343703,,,,,6.224237104330773,,,6.224237104330773,,,21.421042590142278
camargo_1102,260.437,-26.544,Camargo 1102,mw,0,,,,,,,,,,,,,14.6,0.34,0.3,Camargo2018ApJ...860L..27C,8.26,0.6,0.6,Camargo2018ApJ...860L..27C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,1.0,1.0,Camargo2018ApJ...860L..27C,-1.7,0.2,0.2,Camargo2018ApJ...860L..27C,,,,,,,,,,,,,,-6.34,0.6,0.6,4.769029995663981,8.317637711026709,1.205502574493421,1.2322881491876512,359.1454877562312,5.734300941111036,-6.171930456660677,0.21906640521100423,5.571569028572275,0.8540224334239792,780.6662257139677,392.55073537302167,0.8540224334239792,,,-1.7,0.2,0.2,isochrone,,,,,,,,,,,,,
camargo_1104,271.309,-24.979,Camargo 1104,mw,0,,,,,,,,,,,,,13.66,0.44,0.37,Camargo2018ApJ...860L..27C,7.96,1.7,1.7,Camargo2018ApJ...860L..27C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,0.5,0.5,Camargo2018ApJ...860L..27C,-1.8,0.3,0.3,Camargo2018ApJ...860L..27C,,,,,,,,,,,,,,-5.7,1.7,1.7,4.513029995663982,5.395106225151278,0.9895575900857434,1.0022421296752038,5.621426885023199,-1.7776531162859004,-3.5906731848818367,-0.6092242047606338,3.9803370621557086,2.810583208910911,778.364411504091,390.2330715601049,2.810583208910911,,,-1.8,0.3,0.3,isochrone,,,,,,,,,,,,,
camargo_1107,264.243,-30.147,Camargo 1107,mw,0,,,,,,,,,,,,,13.01,0.42,0.35,Camargo2019MNRAS.484L..90C,6.41,0.5,0.5,Camargo2019MNRAS.484L..90C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,2.0,2.0,Camargo2019MNRAS.484L..90C,-2.2,0.4,0.4,Camargo2019MNRAS.484L..90C,,,,,,,,,,,,,,-6.6,0.5,0.5,4.873029995663981,3.9994474976109737,0.7033503758363979,0.699493588441177,357.97746371281767,0.9556867786747959,-3.0359042840198773,-0.22021448259385115,2.594295867103894,4.128552709926514,778.3151977470332,390.17559025361265,4.128552709926514,,,-2.2,0.4,0.4,isochrone,,,,,,,,,,,,,
camargo_1108,266.518,-30.865,Camargo 1108,mw,0,,,,,,,,,,,,,12.59,0.36,0.31,Camargo2019MNRAS.484L..90C,4.19,0.5,0.5,Camargo2019MNRAS.484L..90C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,1.5,1.5,Camargo2019MNRAS.484L..90C,-1.8,0.3,0.3,Camargo2019MNRAS.484L..90C,,,,,,,,,,,,,,-8.399999999999999,0.5,0.5,5.593029995663981,3.296097121774576,0.5035532805372367,0.505796841431037,358.4039966060292,-1.087672055114448,-2.4858645661999765,-0.3003503313559009,2.1434839101650462,4.829053008414527,777.8881120959693,389.74623735012403,4.829053008414527,,,-1.8,0.3,0.3,isochrone,,,,,,,,,,,,,
camargo_1109,266.861,-26.648,Camargo 1109,mw,0,,,,,,,,,,,,,13.17,0.33,0.28,Camargo2019MNRAS.484L..90C,6.77,0.7,0.7,Camargo2019MNRAS.484L..90C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.5,1.5,Camargo2019MNRAS.484L..90C,-1.5,0.2,0.2,Camargo2019MNRAS.484L..90C,,,,,,,,,,,,,,-6.4,0.7,0.7,4.793029995663981,4.305266104917106,0.606984307114443,0.5925220887673559,2.1649646199418937,0.8436368398969917,-3.054826259296533,-0.2708766847203454,3.0215854416738495,3.824258273018771,778.2211501865254,390.0834159428522,3.824258273018771,,,-1.5,0.2,0.2,isochrone,,,,,,,,,,,,,
crater_1,174.0668,-10.8772,Laevens 1,mw,1,,0.46,0.01,0.01,,,,,,,,Weisz2016ApJ...822...32W,20.82,0.045,0.044,Weisz2016ApJ...822...32W,15.52,0.1,0.1,Weisz2016ApJ...822...32W,148.18,1.08,1.15,2.04,1.06,2.19,,Voggel2016MNRAS.460.3384V,-0.04,0.12,0.12,0.12,0.1,0.1,Battaglia2022A&A...657A..54B,-1.68,0.05,,,,,0.53,Kirby2015ApJ...810...56K,0.39,0.02,0.02,,,,Weisz2016ApJ...822...32W,0.49,0.07,0.07,0.77,0.19,0.19,Munoz2018ApJ...860...66M,7.5,0.4,0.4,Weisz2016ApJ...822...32W,-1.66,0.04,0.04,Weisz2016ApJ...822...32W,,,,,,,,,,,,,,-5.300000000000001,0.1,0.1,4.353029995663982,145.88142602753473,2.992030176424663,2.9861099217018534,274.8070267774851,47.84736916779217,-72.10831747092688,114.78302907804905,-53.913238142471016,145.6505825015805,901.2349311156311,515.8381454582702,145.6505825015805,,,-1.68,0.05,,spectroscopic,-9.571086612265276,-79.6101246962823,78187.76883466469,69061.35919326157,170713.04388862377,,19.503111928308165,0.5746312496844368,0.5881514905813994,19.503111928308165,0.5746312496844368,0.5881514905813994,24.721132715014576
cwnu_4193,121.17375,-38.92111,CWNU 4193,mw,0,,0.76,0.01,0.02,,,,,,,,Saroon2024A&A...689A.115S,15.54,0.09,0.08,Saroon2024A&A...689A.115S,,,,,,,,,,,,,-0.792,0.025,0.025,1.628,0.213,0.213,Saroon2024A&A...689A.115S,,,,,,,,,0.69,0.01,0.01,3.05,0.1,0.1,Saroon2024A&A...689A.115S,,,,,,,,11.0,,,Saroon2024A&A...689A.115S,-0.85,0.2,0.2,Saroon2024A&A...689A.115S,,,,,,,,,,,,,,,,,,12.823305826560205,0.5206181184363938,0.48123835322069475,255.16963460217684,-3.9504043297641744,-5.966336752735597,0.3676505876256401,-11.34481516464097,16.840251680919064,784.2502640485038,396.1665054123556,16.840251680919064,,,-0.85,0.2,0.2,isochrone,,,,,,,2.830684544440069,0.12020154833135921,0.12603458762013187,2.830684544440069,0.12020154833135921,0.12603458762013187,
eso_393-12,264.657,-35.651,ESO 393-12,mw,1,,,,,,,,,,,,,14.57,0.03,0.03,Garro2022A&A...658A.120G,9.27,,,Garro2022A&A...658A.120G,,,,,,,,,-2.86,0.47,0.47,-5.39,0.44,0.44,Garro2022A&A...658A.120G,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,2.0,Garro2022A&A...658A.120G,-0.6,0.2,0.2,Garro2022A&A...658A.120G,,,,,,,,,,,,,,-5.300000000000001,,,4.353029995663982,8.203515443298185,0.11255645151435623,0.11412226772852385,353.51386742270023,-2.284519580544328,-6.619389620241553,-0.8572306275688538,4.769329338075539,0.9822628005452864,780.813970375146,392.69642257918696,0.9822628005452864,,,-0.6,0.2,0.2,isochrone,,,,,,,,,,,,,
eso_456-09,268.476,-32.466,ESO 456-09,mw,0,,,,,,,,,,,,,14.42,0.04,0.04,Garro2022A&A...658A.120G,8.42,,,Garro2022A&A...658A.120G,,,,,,,,,-3.41,0.71,0.71,-4.56,0.75,0.75,Garro2022A&A...658A.120G,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,2.0,Garro2022A&A...658A.120G,-0.6,0.2,0.2,Garro2022A&A...658A.120G,,,,,,,,,,,,,,-6.0,,,4.633029995663981,7.655966069112562,0.13973712893050116,0.14233503612002352,357.8821635335481,-3.3389201339329615,-5.810706044338965,-0.9897376517737062,4.8856863487484405,0.71630606405941,780.0130016957994,391.89423227690656,0.71630606405941,,,-0.6,0.2,0.2,isochrone,,,,,,,,,,,,,
